score,content
1,하아.. 진짜 몇번째 재구매인지 모를정도로 애정하는 마스크였는데.. 마스크 재질이 바스락 거리는 느낌으로 바뀌었고 화장이 엄청나게 묻어나네요.. 도대체 왜 바뀐건가요 왜..ㅠㅠ왜..
1,뻑뻑해용.  다음엔 안 살래용
1,별점 1점 줘 본적이 없는것 같은데요 광고내용만 보고 귀가 아프지 않다고 해서 프리미엄 4만원 넘게주고 100매 구매 해 봤는데요 다른점을 모르겠네요 타사 제품보다 비싸게 주고 구매 했는데 특별하게 다른점이 없네요 크기는 타사KF94 제품이 미세하게 조금 더 커서 편한 느낌도 있습니다.
1,"전이랑 달라진 면이 너무 별로에요ㅡㅡ
전에는 면 느낌이였는데 지금은 부직포 느낌에다
숨도 잘 안쉬어지고 전에 100매 쓰고 마음에 들어서 구매목록 찾아서 재구매 한건데 바뀐줄알았으면 구매 안했어요..........."
1,상품 상태가 왜 이런가요? 겉박스가 구겨진건 이해하겠는데 속에있는 마스크 개별 박스까지 구겨져있는건 아니지 않나요? 이건 제품 포장 당시부터 던졌거나 판매불량 상품을 보내주신거 같은데요? 구매자의 입장으로서 상당히 기분이 나쁘네요
1,착용감이 상당히 불편합니다. 크기도 살짝 작아서 덮는다는 느낌이 아니라 걸치고 있다는 느낌이 듭니다. 재질이 딱딱한 느낌이 나서 밀착감이 덜한거 같습니다. 코 부분이 짧게 나와서 콧날에 걸쳐져서 지속적인 압박감과 흘러내려오는 듯한 불편함이 상당하네요. 익숙해지겠거니 며칠 사용했는데 아무래도 이번건 실패한거 같습니다. 급할때만 잠깐 쓰는용도로 사용해야겠네요. 1점은 배송기사님께 드립니다.
1,"이 마스크 쓰고 턱선 좁쌀여드름 폭팔해서 피부과치료받고있습니다
마스크때문 아닌줄 알고 꾸준히쓰다가 뭔가 가렵고 이상해서 다른걸로 바꿨는데 다른거쓰니 괜찮네요
이사시즌이라 먼지알러지 도져서 그런줄 알았더니 저만그런게아니라 저희가족들도 가렵다고해서 안씁니다
안에 비닐처럼 되어있어서 그런지 뭔지 모르겠지만
개선해서좀 팔아주세요"
1,배송 개느림. 다음부터는 주문안함. 같이사킨 다른 마스크는 연휴전 배송 완료. 다신 안사.
1,"빳빳한 도화지 느낌의 숨쉬기 조차 힘든 그런 마스크입니다.
후회막급입니다
별하나 주기도 아까운 그런 마스크임"
1,얇고 좋긴한데 끝에부분이 날카로워서 얼굴이 긁혀요..별로예요
1,너무 뻣뻣하고 철사도 딱딱해서 콧등에 자국 심하게 남고 얼굴도 마스크 자국 그대로 나타나고 보다보다 이런 마스크는 첨 봅니다.
1,안쪽박음질처리가 잘ㅇ솟되어서 얼굴에자꾸탛아서따끔거려요
1,"리뉴얼후 사이즈가 확실히 작아졌어요..
남편 저 둘다 불편하네요
귀가 너무너무 아파요.
일단 샀으니 잘라서 써야겠지만
이제 재구매는 고려해 봐야겠네요&hellip;.
1년넘게 잘 썼는데 아쉽습니다"
1,땀차면 통풍이 잘 안됩니다.. 운동많이 하고 땀많이 나시는 분들은 비추입니다
1,"개불편하네요 
다신 안삽니다"
1,감사합니다 잘 사용하고 있습니다
1,감사합니다 잘 사용하고 있습니다
1,여러번 구매해서 사용하는 제품인데 이번에 배송온 제품은 기존과 다릅니다. 숨쉬기 불편한 내부 소재 종이로 되어있고 귀도 아픕니다. 리뉴얼  된건지 모르겠지만 쓰기 매우 불편하네요
1,"보풀이 잘 일어나요 ㅠㅠ
배송은 빨랐어요."
1,기존에 계속 주문해서 썼었는데 이번에 다시 주문했을때 갯수도안맞고. 착용해보니 전과 다르게 귀도 많이 아프고 재질이 바뀌었는지 더 빳빳해지고 통풍이 안되네요. 기존에 썼을때 편하고 좋은 기억으로 재주문한건데 실망입니다.
1,아들이 이 마스크가 제일 편하다고  해서 매번 주문함
1,배송이 느려요. 급하신 분들은 참고 하세요
1,배송이 느려요. 급하신 분들은 참고 하세요
1,배송이 느릴 줄 모르고 주문 했어요. 급하신 분들은 참고 하세요
1,재질도 바뀌고 끈이 짧아져서 귀가 파여서 피가나요&hellip;.너무 아파요 ㅠㅠ 다신 구매 안할꺼 같아요 전엔 너무 만족해서 재구매한건데&hellip;.실망만 가득이네요
1,상품평이 좋아서 구매했어요. 착용감은 가벼운데 뺨에 닿는 부분 마감 처리가 거칠더군요. 그것까지는 그냥 참았는데 50개 박스에 15개 정도는 끈이 끊어져 버립니다. 이 박스가 불량인가 했더니 두 번째 박스도 마찬가지입니다.
1,"늘 사용했던 마스크 입니다
업그레이드 되고 최악 이네요
우선 바뀌고 뚜꺼워 졌구요
숨쉬기가 너무 불편합니다
기존 예전꺼는 숨쉬기도 편하고 지금꺼처럼 두껍지 않았어요
댓글 보면 개인 호불호라고 하는데
늘 사용하던 사람은 다른점 확연히 느낄껍니다 변경된 이유가 원가 상승일수도 있겠네요
반품할려다 귀찮아서 남들 주고 다른 제품으로 다시 구매 했습니다"
1,도화지 잘라서 붙여놓은거 처럼 빳빳해서  사용하기가 겁날정도 입니다.왕복 택배비와 물건을 확인하기 위해서 한 장을 뜯었기에 그냥 쓰기로 했습니다ㅠ사진에는 저렇게 까지 아니였던거 같은데..저런물건을 돈받고  팔았다는게 믿기질 않습니다
1,"리뷰가 좋아서 샀는데 싫망이네요
광대가 가려지지 않고  다른거 보다  작아요ㅠ얼굴작고 어린 애들써야해요
남자분들은  택도없음"
1,흰색쓸때 정말 만족해서 검정으로 주문했는데 다른 제품인가 할 정도로 다르네요 귀도 너무 아프고 제질도 비닐 같구.... 100개나 샀는데 ㅠㅠ 너무후회되요 ㅠㅠㅠ
1,너무 딱딱해요 불편해요
1,전에사용했던제질이랑 달라요ㅠ 그때께더좋아요
1,"이번 서머본드? 인가 안감 업그레이드 되기 전 구매해서 정말 너무너무 만족해서 이번에 대량 구매를 했는데... 
이거 왠걸요... ㅜㅜ 여름용으로 보풀 안나는 재질이라고 업그레이드가 되었다는데... 오히려 다운그레이드 된거 같은 기분이네요.. 
기존꺼는 순면재질같은 느낌이어서 얼굴에 닿았을때 자극이 거의 없고 통기성이 정말 좋아 숨쉬는것도 다른 마스크들과 차원이 달라요. 내면에 화장품도 잘 안묻어서 너무 좋았는데... ㅜㅜ 
이번거는 착용하고 얼마 안가서도 화장품이 너무 
이번 업그레이드 된 안감소재는 비닐같이 매끄러운 소재인데 보풀이 안나는 소재이지만 좀 두껍게 느껴지고 오히려 얼굴에 닿을때 더 자극이 느껴져서 불편하고 비닐처럼 코팅된 재질이라 요즘처럼 습한 날씨에는 오히려 답답하고 불편합니다. 
이런 소재의 마스크는 이미 집에도 많은데 안쓰고 있는데... 이런소재로 업그레이드가 된걸 알았다면 아마도 다시 주문 안했을겁니다... 
이미 너무 좋은 재질이었는데.. 너무 아쉽네요. 
기존것과 포장을 비교해보니 제조사, 제조장소 등이 바뀐것 같더라구요. 
암튼 이번 업그레이드는 최대 실수인것 같습니다."
1,"얇다고 광고해서 샀는데 두꺼워요
요즘 날씨에 정말 숨도 못쉬겠어요"
1,화장 마스크에 대박 묻어서 ㅠㅠ
1,"안감이 바꼈나요? 너무 편해서 이것만 사서 썼는데
바뀌고 나서 너무 불편해서 못 끼겠네요ㅡㅡ"
1,처음 구매했을때 제품 품질이랑 너무달라요
1,"계속 여러번 썼었고  이번에 재구매한 마스크는 재질이 완전히 바뀌었어요
그리고 쓰면 얼굴에 진한 자국 생기고 화장품 다 묻고 화가 날 지경입니다 지금 다 버려야 할 상황이에요"
1,"마스크줄이 짧아서 못쓰는 상황임
(기존 사용중인 흰색 마스크와 비교 - 검은 마스크 줄 짧은 사진 첨부)
줄이 짧아서 귀가 아프고 얼굴 자국생김.
기본 평범한 얼굴인데 성인은 쓸수 없네요...ㅠㅠ
줄 좀 길게 만들어서 판매요합니다.!!"
1,"같은 94인데 기존 마스크보다 끈이 왜이리
짧은가요?? ㅠㅠ 아..놔...
얼굴 땡기고 얼굴에 마스크 줄자국이...
많이 샀는데 이게 뭔가요??

아래는 기존 사용하는 마스크(흰)
검정마스크는 이번에 구입한 클린앤영..
가격은 더 비싸고 줄은 더 짧고
이게 뭔가요???"
1,기존에 쓰던 마스크가 답답해서 바꿨는데 냄새가 마니 나네요ㅠㅠ
1,사이즈가 매우 작아 아쉽습니다. 딱딱한 편이에요.
1,대형이라고 하지만 사이즈가 매우 작아요 남자는 사용하기 힘듭니다.
1,가성비 좋은 제품 입니다
1,"매번 주문할때마다 소재가 다르네요
같은 소재로 만들어 주셨으면 합니다"
1,저번 보다 못한듯 합니다.
1,성인 사이즈도 아니고 중형 사이즈도 아니고 너무 안좋다
1,사용전 사용전사용전
1,"옛날이랑 얼굴에 닿는면이 달라졌어요
반질반질한 부직포 제형으로 바꼇네요.. 전에 샀을때는 잘 썻는데 화장도 너무 많이 묻고 사이즈도 작아지고 볼이 아파요"
1,"안쓰려다가 씁니다
두장에 한장꼴로 보풀때문에 사용할수 가
없네요
엉망입니다"
1,불량품이 왜이렇게 많죠? 50개 팩에 한 10개는 버린거같은데 생산라인에 검토해주세요
1,"계속 여기것만 시켰습니다. 근데 !!!!! 요번껀 왜 마스크 안재질이 비닐같은 재질로 바꼈는지요?? 면같은 재질이였어서 숨쉬기도 편했었는데..이건 뭐 땀 엄청차고ㅡㅡ!!
 아니..왜 더 저급으로 리뉴얼이 되었는지? 바꼈으면 바꼈다고 제품상세에 써놓던가!!..완젼짜증..200개나 시켰는데..ㅜㅜ지금 두어개썼는데.. 반품시킬수있는방법있으면 알려주십시요!"
1,"저 상태로 배송이 왔구요.심지어 찢어진 박스에 있는 수량은 7개가 모자르네요.
제품 자체에는 훼손이 없어 그냥 쓰려고 합니다.
다른 분들에게는 제대로 보내시길 바랍니다."
1,아하~마스크 재질이 바뀌었네요.제가 여기 제품이 좋아서 몇번째 구매하여 가족이 함께 사용해 왔는데 이번제품은 이전과 달리 화장이 다 묻어나고 끈도 짧아져 저희 아들은 귀가 아프다 하네요😔반품 할 수 있으면 좋겠는데 가족이 하나씩 써본다며 사용을 해서 어쩔수 없이 그냥 사용 하기로 했습니다.저희것(블랙대형)만 그런지 알 수 없지만 여기 제품 이제 구매 못 할듯요~~
1,"사진은 일반형이고 배송은 새부리형
헤갈린 제 잘못입니다"
1,"일단 마스크 기능면은 좋은거 같습니다..
숨쉬기나 이런부분은 괜찮았어요
저는 마스크를 장시간 사용해야해서 귀가 안아픈걸
원했는데..오전에는 괜찮지만 저녁쯤 되면 
귀에 거는 부분이 얇아져서 조금 아픕니다..
(귀에 거는 끈이 조금더 뚜꺼웠으면...)
결정적으로 2점을 준 이유는..마스크의 코 아랫부분이
잘 터집니다..자주 만진것도 아닌데..음료섭취 하려고
몇번 벗었는데..사진처럼 터지는게 많아요..
심지어 새거 꺼내서 손으로 윗쪽을 살짝 비비니 
터지기도 했어요
하루한개씩 사용해서 40장 정도 사용한거 같은데 
거진 절반이 터졌어요..
같이 판매하던 제품보다 가격이 조금 더있어서 
이왕이면 좋은거 사려고 한건데 솔직히 이정도 
불량이면 사기성 아닌가 싶습니다.
그다지  추천하고 싶지 않네요."
1,크다고해서 샀는데 얼큰이는 작아요
1,"제품이 달라졌어요. 
항상 꾸준히 사용하고있는 제품이라 이번구매에 다른점이 확 느껴졌습니다. 전 제품에 비해 더 비닐같은??코팅된느낌이 생겼어요. 접을때 바스락 소리도 그렇고
안쪽이 원래 부직포?같은 재질이였는데 코팅된것처럼 되가지고 화장이 전보다 어마어마하게 잘묻고 지워집니다....."
1,안감이 별루에요 보풀도 생기고 피부트러블 때문에 진챠 고민 많이하고 샀는데 전 안맞는거 같아요&hellip;
1,"어제 배송 받고 4-5장정도 사용했구요 다른 마스크에 비해서 귀는 덜 아프지만 얼굴과 닿는 면에 보풀이 너무 심해서 피부가 너무 간지럽습니다.
처음에는 불량인줄알고 버리고 다른 거 꺼내서 써봐도 똑같고 지금까지 꺼낸 마스크가 전부 다 그렇습니다.
귀가 덜 아픈 마스크라해서 동료들한테 써보라고 한장씩 나눠줬는데 미안할정도에요. 100매 샀는데 어떻게 쓸지 걱정입니다."
1,"하...장난하나 진짜...안그래도 타사에 비해 비싼데 이왕에 사는거 좋은거 쓸려고 프리미엄을 샀는데 마스크 위가 벌어지네요? 한두개면 그럴수도 있지하고 넘어가겠는데 쓰는 족족 다 벌어지네요
이거 쓰고 다니다 코로나 바로 전염 되겠네요..
대체 이게 무슨 왜 프리미엄인지 모르겠네요
싸구려보다 못한 비싸기만 한 프리미엄? 방역 전혀 안될거 같아 4만원 넘게 주고 사놓고 다른거 사용중입니다. 하...돈만 버렸네요...증고 사진 올립니다"
1,처음 사요해보는데 전 좀 불편해요 . 얼굴크면 비추
1,"지금 몇번째 재구매인지 모르겠는데 처음으로 불편하네요

마스크 줄에 닫는 귀가 원래는 편했는데 땡기고 
마스크 안쪽의 왼쪽 끈이 연결되는 부분이 불량으로 나와 볼을 자꾸 긁습니다.
꾹 눌러서 긁는 부분을 접으려고해도 다시 튀어나와요..

매번 믿고 구매했는데 너무 당혹스럽습니다..

이번꺼가 공정이 잘못된것이 아닌가 싶습니다"
1,배송이 너무 느림...배송 뽑기에 걸린거 같은 기분임
1,"마스크 여성이 하기에는 넝수 크고,밑에 지지해주는 뭔가 다 어섪퍼요. 실망입니다."
1,말려 들어감 볼 닷는 부분 까끌까끌 하고 얼굴에 착 붙는 느낌없음 내렸다가 다시 쓰면 완전 말려서 벗었다가 다시  써야함
1,"옛날에 있던 프리미엄 제품이랑 비교해보니
끈도 얇아지고 원단도 바꼈어요..
왜이리 귀가 아픈가 했더니 끈이 얇아져서
넘 못쓰겠네요."
1,"몇달전 구매해서 써보고 좋아서 지인 선물줬는데
제가 썼던거랑 착용감이 다르더라고요..
크기가 작아지고 끈쪽에 까끌거리는 느낌이 들고 두께도 좀 두꺼워진건지 착용감이 떨어지네요
왜 바뀐건지...ㅜㅜ"
1,괜찮아요 쓸만합니다 커요
1,보풀 심한편입니다.
1,착용감 별로에요 ㅠ
1,별로에요.... ㅠㅠ200매나 샀는데
1,"보풀최소화라고 해서 구입했는데
얼굴이 간지러워 30분도  못쓰겠네요.
강력 비추합니다."
1,저번에 구매하고 괜찮아서 재구매했는데 벚꽃에디션인지 뭔지로 포장지만 바꾸고 내용물은 싸구려로 바꾼건지 마스크 접으면 앞부분 다 터지네요  다신 안삽니다~
1,리뷰 수정합니다. 콧구멍 입주변 너무 간지러워요. 2통 산게 아까워서 참고 쓰는데 어머니도 그러고 저도 그러고 착용하고 있으면 마스크 내부 솜털이 떨어지는지 콧구멍이며 입주변이며 따갑고 가려워서 못참겠습니다.
1,한박스에는 50개가 정확하게 들어있는데 한박스에는 49개가 들어있네요 1개 가지고 문제삼기도 그렇고 참..다음부터는 확인 잘 해서 보내주세요..
1,귀가 너무 헐렁해서 다 버림
1,"어머니 이 마스크 쓰고 코로나 걸리심
배상 책임이라도 따지고싶음
귀에 거는 흰 고무줄이 너무 낭창낭창
느슨하여 마스크가 빙빙 돌아감
그렇다고 줄이거나 조절할 수도 없음
마스크 안한거나 마찬가지 임

밖에 나가시지 않는 분인데
이거끼고 홈플러스 한번 다녀오셔서
걸리심

그간 집앞 홈플러스를 그리가도 
괜찮았는데

너무 화남"
1,배송이 너무 늦게 왔어요ㅠ
1,부리형구매했습니다. 처음에 포장지뜯어서 낄때 다른 마스크보다 냄새가 유독 심하고 부리부분이 다른제품보다 더 뾰족해서 불편해요 사이즈도 미듐이아디라 L같네요.. 재구매의사없습니다 여태껴본마스크중에 제일 별로에요
1,"마스크에 무슨 코팅?을 했나요?
마스크에  무슨 심지를 넣었나요??
너무너무 뺏뺏하고 플라스틱마스크 인듯 
너무너무 불편합니다
얇고 부드럽고 숨쉬기편한 마스크 절대,,아님"
1,너무 비싸게 삿다고 욕먹었어요
1,"이 마스크에 왜 이렇게 후기가 많은거죠?!!
오늘 처음 착용했는데
얼굴에 붙어서는 자꾸만 가렵고 끈적이고
살에 닿는부분이 너무 답답해요ㅜㅜ
다른마스크 이런적없었는데
암튼 저는 별루에요ㅜㅜ"
1,"아주 완벽한 배송이네요
해외직구한듯한 배송기간에 박스는 다 터져있고 판매자는 늦었다고 문자하나 띡 날리고 완벽하네요"
1,별로에요.너무 얇아요.
1,"후기보고 구매했는데 저에게는 진짜별루예요
안뜯은50개당근했어요"
1,"한장은 빈봉지였네요~ 당황~~
판매자분 전화기 꺼져있어
문의글 남기긴 했습니다. 

구입하시는 분들 
제품 받으시면 수량 체크
내용물 들었는지 체크 꼭 하세요-!"
1,기본이네요&hellip;다 좋다해서 샀는데
1,"사이즈 대형 으로  좋은데
안쪽에 ~ 미세 ~ 올  같은게 다 있네요~ 입술쪽이 너무 간지러워요~
2통 샀는데 
한통이 전부 그렇코  ~
나머지 한통도쓰기 시작했는데   그것도 올이 입술쪽이 올이 넘 많아요 ㅜㅜ"
1,"배송최악..
일처리 제대로 하셨으면 좋겠어요"
1,"제 얼굴이 작은편이 아닌데 고무줄 너무 헐겁고, 마스크 천도 흐물흐물하고.. 참.. 100개나.. 누구 주기도.. 아.. 싫다.."
1,착용감이  많이 불편 합니다   쎈터 에서  양쪽 길이가  차이가 나는지  어쨌듯 별로입니다
1,"너무 커요..
저는 쓰지도 못해요
그나마 남편이 쓰는데 남편도 커서 불편하다하네요
얼굴 작은분들 불편하실거 같아요
얼굴 크고 살많은 분들쓰셔야할듯"
1,왼쪽이랑 오른쪽 마감이 다르네요 오른쪽마감이 안좋아서 사용시 굉장히 불편하네요
1,두박스 구입한 중 한박스 개봉해보니 갯수가 부족해서 연락했는데 몇장 챙겨준다 하였으나 깜깜 무소식 이네요 ㅎ
1,너무 크네요...ㅠㅠ
1,코있는곳이 힘이없어 구부려져서 보기 안좋아요
1,보풀올라오고 썩었어요
1,가격이 저렴해서 샀는데 다 이유가 있었네요. 진짜 너무 얇고 재질도 별로네요.
1,후기좋아샀는데 지금까지 쓴 마스크중에 가장 불편해요
1,총알 배송은 좋았는데 트러블 하나도 안나는 피부인데 얼굴 다뒤집어졌습니다 저녁에 제얼굴보고 소름돋았네요 숨쉬기 편한것도 잘 모르겠어요..
1,"어... 오늘 사용해보는 중인데요
숨쉬는게 전혀 편하지 않아서 재구매는 안 할 거 같습니다ㅠ"
1,마스크 개수가 총100매인데 98매가 왔습니다. 믿고 샀는데 이런 사소한 부분에서 신뢰가 떨어졌습니다..
1,100매 구매했는데 중간에 내용물이 없이 밀봉된 비닐만 들은것 들이 있네요. 하나는 버렸는데.. 또 한개가 있습니다. 나머지도 다 확인해야하는건지.. .
1,끈이 자꾸 떨어지네요.쓰고 나갔는데 떨어지면 진짜 당황스럽습니다.
1,여기서 항상 KF94 마스크를 사서 쓰고 있는데 추가증정으로 받은 덴탈마스크 50매 전체에 귀걸이끈이 없는 상태로 왔습니다..무료로 받은거긴 하지만 불량품이 와서 좀 당황스럽네요..
1,박스 젖어오고 끈 없는거 발견됨
1,너무 별로에요.. 마스크 쓰면 털?같은게 일어나서 너무 간지러워요ㅜㅜ 재구매의사 없습니다...
1,냄새도 나고 불량이 2개나 나왓어요
1,한가지 아쉬운 점 이면서 제일 중요한 하자 일수도 있는데 포장지 뜯어 마스크 펼쳐 마스크안 냄새를 맡아 보면 석유 냄새 랄까 싸구려 플라스틱 제품 사면 나는 그런 화공약품 같은 냄새가 납니다 처음에 구입한 제품도 그랬고 이번이 두번째 인데 원단이 틀리면 안나겠지 했는데 역시나 냄새가 납니다 파는분 상술이 좋아서 좋은 후기 남기면 프리미엄 제품 50매 더 준다는데 프리미엄 제품은 냄새가 안 나는지 궁금 하네요. 후기 남기신 분들 왜 냄새나는건 지적 안 하는지 모르겠습니다 반품시키려다 집에 마스크 여분도 없고 쓰는데 다른 불편한 점은 없어서 쓰긴 합니다만 장기간 사용 하다 보면 면역력 저하나 부작용이 우려 됩니다 200개 사서 써 봤는데 냄새 가 난다는건 원단의 질이좋지 않을것 같네요  건강 지키려다 건강 해칠까 상당히 우려스러워 이제품은 그만 사용 해야 겠습니다
1,"얼굴이 작아서 그런지 너무 헐렁거림.
안그런것도 있는데"
1,너무크고 별로에요  비추에요
1,"마스크를 뜯었는데,한쪽은 줄이 있고 한쪽은 줄이 없네요&hellip;벌써 2개나 발견됐습니다&hellip;ㅠㅠ"
1,제피부랑 안맞아요 오빠줬어요
1,"마스크 줄이 접촉불량이 있네요
검수를 안하나봐요
2백개 주문했는데 너무많이산것같아서 후회됩니다 
가격도 싼게아닌데
다신 안사겠음"
1,"후기가 하나같이 좋아서 구매했다가&hellip;&hellip; 이 뭐지
첫째 마스크라 뻑뻑함
둘째 코윗등 아픔, 이거 매일 쓰는건데 한번만에 코윗등 아프면 어찌 매일 쓰라는 건지
세째 위 아래 모양 잡느라 당겼다가 그대로 뜯어짐?? 뭥미?? 여태 2년간 마스크 써 오며 처음 뜯어짐, 귀걸이 부분 끊어지는건 여러차례 겪어 봤으나 마스크 뜯어지는건 좀 당황스러움

이런 써글 제품의 평가가 왜 좋은거지?"
1,마스크 2장 모자르네요
1,와- 마스크 착용한지 몇시간 되지도 않았는데 벌써 보푸라기 장난 아니네요   리뷰가 좋아서 샀는데 리뷰는 믿을게 못되네요;; 다들 뭐가 좋다는건지...  국산자재가 맞는지 심히 의심스러움!
1,"싸진않치만 사용감도 나쁘지않고 추가로200장더 주문했더니 다 젖은게 왔네요. 
박스만젖었나 싶어서 뜯어봤더시 내용물도 젖었고 위생상 쓰는마스크가 오염되서 반품 합니다."
1,마스크 끈이 그냥 끈겨요 불량품이 왔네요
1,"새건데 마스크 할려니 끈이 뚝뚝 끊어져요
불량품!!!"
1,대형 맞나요? 겨우 코와 입을 가릴 수준의 작은 크기던데.. 깜짝 놀랐습니다. 아베노마스크 같은 느낌적 느낌이라... ㅜㅠ
1,"끈도 없는 마스크를 보내주시내요
외국에서 받느라 오랜시간 걸려서 받았는데
너무 어처구니가 없네요"
1,"덴탈 마스크 50매 무료 주신다더니 외국에서 비싼 택배비 내가면서 배송 받았더니.. 장난하시나요?? 
마스크가 끈이 없네요 
이럴꺼면 안주시는게 낫지 않을까요?? 
아주 비싼 쓰레기를 받았네요"
1,"밀봉포장이 제대로 안된제품을 보내셨네요
반품 귀찮아 그냥 씁니다.제품에 별문제 없겠죠?!"
1,보통크기얼굴. 끈이 헐렁해서 귀아플일은 없지만 그래서 얼굴에서 맞지않고 붕뜬 느낌 마스크싸이즈가 맞음에도 겉도는 느낌이라 자꾸 마스크에 손이 갑니다(안좋은 쪽으로) 갯수가 99개네요. 검수 똑바로해서 보내세요. 구매않하면 되는데 다른분들이 피해보는 일은 없기를....
1,귀는 안아파도 보플때문에 못쓰겠음
1,보플 없다고해서 2박스 주문했는데 30분 착용했는데 보플 때문에 간지러워 못하겠음
