gender,birth,marriage_type,religion,income,code_job,code_region
2.0,1955.0,4.0,2.0,,,5.0
1.0,1975.0,5.0,2.0,528.0,761.0,5.0
1.0,1947.0,1.0,1.0,188.0,851.0,1.0
2.0,1956.0,1.0,1.0,,,1.0
1.0,1980.0,5.0,1.0,674.0,235.0,1.0
1.0,1954.0,1.0,1.0,,,1.0
2.0,1960.0,1.0,1.0,,,1.0
1.0,1978.0,5.0,1.0,466.0,312.0,1.0
2.0,1983.0,5.0,1.0,230.0,442.0,1.0
1.0,1981.0,5.0,1.0,,442.0,1.0
2.0,1946.0,2.0,2.0,,,1.0
1.0,1965.0,1.0,1.0,,721.0,1.0
2.0,1968.0,1.0,1.0,,721.0,1.0
2.0,1998.0,5.0,1.0,,,1.0
2.0,2001.0,0.0,1.0,,,1.0
1.0,1958.0,1.0,1.0,310.0,772.0,1.0
2.0,1959.0,1.0,1.0,,,1.0
1.0,1988.0,5.0,1.0,179.0,930.0,1.0
1.0,1991.0,5.0,2.0,220.0,921.0,1.0
2.0,1985.0,1.0,2.0,,,6.0
1.0,1979.0,1.0,2.0,264.0,742.0,6.0
1.0,1960.0,1.0,1.0,220.0,941.0,1.0
2.0,1960.0,1.0,1.0,90.0,941.0,1.0
2.0,1989.0,5.0,2.0,,,1.0
1.0,1987.0,1.0,1.0,277.0,863.0,2.0
2.0,1986.0,1.0,1.0,,,2.0
1.0,2013.0,0.0,1.0,,,2.0
2.0,2017.0,0.0,1.0,,,2.0
1.0,1961.0,3.0,2.0,192.0,910.0,2.0
2.0,1992.0,5.0,2.0,,,2.0
2.0,1996.0,5.0,2.0,,521.0,2.0
2.0,1933.0,2.0,2.0,,,2.0
1.0,1967.0,3.0,2.0,102.0,521.0,1.0
2.0,1994.0,5.0,2.0,40.0,521.0,1.0
2.0,1937.0,2.0,2.0,,,1.0
1.0,1935.0,1.0,2.0,,,1.0
2.0,1941.0,1.0,1.0,,,1.0
1.0,1936.0,1.0,2.0,,,1.0
2.0,1940.0,1.0,2.0,,,1.0
1.0,1957.0,1.0,2.0,273.0,792.0,1.0
2.0,1960.0,1.0,2.0,,,1.0
1.0,1983.0,5.0,2.0,198.0,899.0,2.0
1.0,1950.0,1.0,2.0,234.0,873.0,1.0
2.0,1953.0,1.0,1.0,147.0,941.0,1.0
1.0,1962.0,1.0,2.0,,431.0,1.0
2.0,1963.0,1.0,1.0,150.0,951.0,1.0
2.0,1989.0,5.0,2.0,318.0,285.0,1.0
1.0,1992.0,5.0,2.0,210.0,799.0,1.0
1.0,1959.0,1.0,2.0,,875.0,1.0
2.0,1961.0,1.0,2.0,,,1.0
2.0,1990.0,5.0,2.0,257.0,312.0,2.0
1.0,1954.0,1.0,2.0,180.0,862.0,1.0
2.0,1955.0,1.0,2.0,,941.0,1.0
2.0,1989.0,5.0,2.0,208.0,243.0,1.0
1.0,1971.0,1.0,2.0,,,1.0
2.0,1977.0,1.0,2.0,,,1.0
2.0,2000.0,5.0,2.0,,,1.0
1.0,2002.0,0.0,2.0,,,1.0
1.0,2004.0,0.0,2.0,,,1.0
2.0,2014.0,0.0,2.0,,,1.0
2.0,1939.0,2.0,2.0,,,1.0
1.0,1949.0,1.0,2.0,,,1.0
2.0,1954.0,1.0,1.0,,521.0,1.0
1.0,1978.0,1.0,2.0,458.0,311.0,2.0
2.0,1982.0,1.0,1.0,,,2.0
2.0,2014.0,0.0,2.0,,,2.0
1.0,2016.0,0.0,2.0,,,2.0
1.0,1942.0,1.0,1.0,,,1.0
2.0,1949.0,1.0,1.0,,,1.0
1.0,1995.0,5.0,2.0,200.0,922.0,1.0
1.0,1998.0,5.0,2.0,50.0,521.0,1.0
2.0,1980.0,1.0,2.0,,,1.0
1.0,1980.0,1.0,2.0,542.0,222.0,1.0
2.0,2016.0,0.0,2.0,,,1.0
2.0,1957.0,3.0,2.0,185.0,421.0,5.0
2.0,1943.0,2.0,1.0,61.0,941.0,1.0
1.0,1973.0,5.0,2.0,250.0,521.0,1.0
1.0,1960.0,1.0,2.0,410.0,314.0,1.0
2.0,1966.0,1.0,2.0,83.0,510.0,1.0
2.0,1943.0,2.0,1.0,40.0,941.0,1.0
2.0,1971.0,1.0,1.0,120.0,259.0,1.0
2.0,1998.0,5.0,2.0,,,1.0
2.0,1999.0,5.0,2.0,,,1.0
1.0,1968.0,1.0,2.0,358.0,799.0,1.0
1.0,1958.0,1.0,1.0,266.0,721.0,1.0
2.0,1958.0,1.0,1.0,,952.0,1.0
1.0,1986.0,1.0,2.0,260.0,159.0,1.0
2.0,1984.0,1.0,2.0,,,1.0
1.0,2013.0,0.0,2.0,,,1.0
1.0,1966.0,1.0,1.0,392.0,862.0,1.0
2.0,1968.0,1.0,1.0,160.0,399.0,1.0
1.0,2000.0,5.0,1.0,,,1.0
1.0,1974.0,1.0,2.0,344.0,953.0,1.0
2.0,1973.0,1.0,2.0,160.0,930.0,1.0
2.0,2003.0,0.0,2.0,,,1.0
1.0,2004.0,0.0,2.0,,,1.0
1.0,1959.0,1.0,2.0,214.0,741.0,1.0
2.0,1959.0,1.0,1.0,173.0,441.0,1.0
1.0,1960.0,1.0,2.0,178.0,941.0,1.0
2.0,1960.0,1.0,1.0,95.0,941.0,1.0
1.0,1988.0,5.0,2.0,180.0,510.0,1.0
1.0,1985.0,5.0,2.0,317.0,221.0,1.0
2.0,1960.0,4.0,1.0,,951.0,1.0
1.0,1987.0,5.0,2.0,192.0,314.0,1.0
2.0,1943.0,4.0,1.0,94.0,941.0,1.0
2.0,1971.0,5.0,2.0,,,1.0
1.0,1959.0,1.0,2.0,,873.0,1.0
2.0,1965.0,1.0,2.0,80.0,442.0,1.0
1.0,1987.0,5.0,2.0,162.0,910.0,1.0
2.0,1988.0,5.0,2.0,243.0,313.0,1.0
1.0,1938.0,3.0,2.0,,,1.0
2.0,1939.0,2.0,2.0,,,1.0
1.0,1964.0,5.0,2.0,236.0,751.0,1.0
1.0,1969.0,1.0,2.0,301.0,312.0,1.0
2.0,1977.0,1.0,2.0,193.0,314.0,1.0
2.0,2006.0,0.0,2.0,,,1.0
1.0,2010.0,0.0,2.0,,,1.0
2.0,1939.0,2.0,1.0,,,1.0
2.0,1971.0,1.0,1.0,283.0,312.0,2.0
1.0,1966.0,1.0,1.0,200.0,251.0,2.0
1.0,2012.0,0.0,1.0,,,2.0
1.0,1965.0,5.0,1.0,,,1.0
2.0,1958.0,3.0,1.0,,521.0,1.0
1.0,1987.0,5.0,1.0,271.0,312.0,1.0
1.0,1938.0,2.0,2.0,,,1.0
2.0,1942.0,2.0,1.0,,,1.0
1.0,1925.0,1.0,2.0,,,1.0
2.0,1936.0,1.0,2.0,,,1.0
2.0,1953.0,2.0,1.0,,,1.0
1.0,1978.0,1.0,1.0,608.0,753.0,1.0
2.0,1979.0,1.0,1.0,,,1.0
1.0,2009.0,0.0,1.0,,,1.0
1.0,2011.0,0.0,1.0,,,1.0
1.0,1979.0,1.0,2.0,750.0,312.0,2.0
2.0,1983.0,1.0,2.0,,,2.0
2.0,1946.0,3.0,2.0,,,1.0
1.0,1957.0,5.0,2.0,,,1.0
2.0,1934.0,2.0,1.0,27.0,941.0,1.0
2.0,1958.0,1.0,1.0,128.0,951.0,1.0
2.0,1983.0,1.0,1.0,683.0,320.0,1.0
1.0,1975.0,1.0,1.0,462.0,311.0,1.0
1.0,2014.0,0.0,1.0,,,1.0
2.0,2015.0,0.0,1.0,,,1.0
1.0,1984.0,1.0,2.0,450.0,761.0,2.0
2.0,1984.0,1.0,2.0,,,2.0
2.0,2013.0,0.0,2.0,,,2.0
1.0,1945.0,3.0,2.0,,,2.0
2.0,1982.0,5.0,1.0,170.0,225.0,2.0
2.0,1957.0,2.0,1.0,,951.0,1.0
1.0,1982.0,5.0,1.0,344.0,412.0,1.0
2.0,1979.0,1.0,2.0,172.0,320.0,1.0
1.0,1975.0,1.0,2.0,500.0,231.0,1.0
1.0,2012.0,0.0,2.0,,,1.0
1.0,2015.0,0.0,2.0,,,1.0
1.0,1932.0,1.0,1.0,,,1.0
2.0,1940.0,1.0,1.0,,,1.0
1.0,1959.0,1.0,1.0,,274.0,2.0
2.0,1964.0,1.0,1.0,235.0,442.0,2.0
2.0,1989.0,5.0,1.0,500.0,254.0,2.0
2.0,1990.0,5.0,1.0,248.0,243.0,2.0
1.0,1952.0,3.0,1.0,,,1.0
1.0,1952.0,1.0,1.0,,,1.0
2.0,1950.0,1.0,1.0,,,1.0
2.0,1980.0,5.0,1.0,,,1.0
1.0,1967.0,1.0,2.0,,873.0,1.0
2.0,1968.0,1.0,2.0,,422.0,1.0
2.0,1995.0,5.0,2.0,204.0,442.0,1.0
1.0,2000.0,5.0,2.0,,,1.0
1.0,1973.0,1.0,2.0,,531.0,1.0
2.0,1976.0,1.0,1.0,,,1.0
1.0,2006.0,0.0,1.0,,,1.0
1.0,1973.0,1.0,2.0,500.0,312.0,1.0
2.0,1973.0,1.0,2.0,208.0,521.0,1.0
2.0,2000.0,5.0,2.0,,,1.0
1.0,2002.0,0.0,2.0,,,1.0
1.0,1964.0,1.0,2.0,,330.0,1.0
2.0,1962.0,1.0,1.0,53.0,247.0,1.0
2.0,1991.0,5.0,1.0,,,1.0
1.0,1947.0,1.0,1.0,,,1.0
2.0,1958.0,1.0,1.0,,422.0,1.0
1.0,1976.0,1.0,1.0,,941.0,1.0
2.0,1981.0,1.0,1.0,100.0,254.0,1.0
1.0,2008.0,0.0,1.0,,,1.0
2.0,1951.0,2.0,1.0,,,1.0
2.0,1933.0,2.0,1.0,,,1.0
1.0,1976.0,1.0,2.0,417.0,245.0,2.0
2.0,1977.0,1.0,2.0,,,2.0
1.0,2004.0,0.0,2.0,,,2.0
1.0,2007.0,0.0,2.0,,,2.0
1.0,1933.0,6.0,1.0,,,1.0
2.0,1936.0,2.0,1.0,,,1.0
1.0,1958.0,1.0,1.0,,873.0,1.0
2.0,1962.0,1.0,1.0,,,1.0
1.0,1988.0,5.0,1.0,196.0,245.0,1.0
1.0,1977.0,1.0,2.0,460.0,441.0,7.0
2.0,1977.0,1.0,2.0,,,7.0
2.0,2007.0,0.0,2.0,,,7.0
2.0,2009.0,0.0,2.0,,,7.0
1.0,2011.0,0.0,2.0,,,7.0
1.0,1979.0,1.0,2.0,300.0,222.0,2.0
2.0,1979.0,1.0,2.0,207.0,313.0,2.0
1.0,2007.0,0.0,2.0,,,2.0
2.0,2013.0,0.0,2.0,,,2.0
2.0,1946.0,2.0,2.0,,,2.0
1.0,1944.0,1.0,1.0,,873.0,1.0
2.0,1952.0,1.0,1.0,,,1.0
1.0,1972.0,5.0,2.0,,521.0,1.0
1.0,1944.0,1.0,1.0,,,2.0
2.0,1952.0,1.0,1.0,120.0,521.0,2.0
1.0,1946.0,1.0,1.0,160.0,942.0,1.0
2.0,1948.0,1.0,1.0,,,1.0
2.0,1936.0,2.0,2.0,,,1.0
1.0,1935.0,1.0,2.0,,,1.0
2.0,1942.0,1.0,2.0,,,1.0
1.0,1977.0,1.0,1.0,506.0,510.0,2.0
2.0,1979.0,1.0,1.0,130.0,312.0,2.0
1.0,2006.0,0.0,1.0,,,2.0
2.0,2008.0,0.0,1.0,,,2.0
2.0,1930.0,2.0,2.0,,,1.0
1.0,1965.0,1.0,2.0,,762.0,1.0
2.0,1970.0,1.0,2.0,,,1.0
2.0,1995.0,5.0,2.0,172.0,422.0,1.0
2.0,2001.0,0.0,2.0,,,1.0
2.0,1940.0,2.0,2.0,,,1.0
2.0,1943.0,2.0,1.0,27.0,999.0,1.0
1.0,1938.0,1.0,1.0,5.0,941.0,1.0
2.0,1946.0,1.0,2.0,,,1.0
1.0,1954.0,1.0,2.0,,873.0,1.0
2.0,1958.0,1.0,2.0,,521.0,1.0
1.0,1984.0,5.0,2.0,,921.0,1.0
2.0,1937.0,2.0,1.0,,,1.0
2.0,1962.0,2.0,1.0,107.0,952.0,1.0
2.0,1941.0,2.0,1.0,115.0,710.0,1.0
1.0,1968.0,5.0,2.0,,,1.0
2.0,1953.0,2.0,1.0,108.0,952.0,1.0
1.0,1974.0,1.0,2.0,592.0,222.0,1.0
2.0,1979.0,1.0,2.0,244.0,313.0,1.0
2.0,2007.0,0.0,2.0,,,1.0
2.0,1954.0,2.0,1.0,111.0,952.0,7.0
1.0,1944.0,1.0,1.0,,,1.0
2.0,1944.0,1.0,1.0,,,1.0
1.0,1952.0,1.0,2.0,,,1.0
2.0,1956.0,1.0,2.0,,,1.0
2.0,1984.0,1.0,2.0,,,5.0
1.0,1983.0,1.0,2.0,375.0,761.0,5.0
1.0,2010.0,0.0,2.0,,,5.0
2.0,2013.0,0.0,2.0,,,5.0
2.0,1948.0,2.0,2.0,,531.0,1.0
2.0,1942.0,2.0,1.0,,,1.0
2.0,1965.0,1.0,2.0,333.0,159.0,1.0
2.0,1989.0,5.0,2.0,200.0,312.0,1.0
2.0,1994.0,5.0,2.0,192.0,312.0,1.0
1.0,1959.0,1.0,2.0,,873.0,1.0
2.0,1941.0,1.0,1.0,,,1.0
1.0,1940.0,1.0,1.0,60.0,942.0,1.0
1.0,1932.0,1.0,2.0,,,1.0
2.0,1936.0,1.0,2.0,,,1.0
1.0,1960.0,1.0,1.0,200.0,942.0,1.0
2.0,1963.0,1.0,1.0,,,1.0
2.0,1990.0,5.0,2.0,310.0,283.0,1.0
1.0,1963.0,1.0,1.0,,873.0,6.0
2.0,1990.0,1.0,1.0,53.0,281.0,6.0
2.0,2011.0,0.0,1.0,,,6.0
2.0,2013.0,0.0,1.0,,,6.0
1.0,1977.0,1.0,1.0,559.0,411.0,1.0
2.0,1978.0,1.0,1.0,658.0,243.0,1.0
2.0,2006.0,0.0,1.0,,,1.0
2.0,1950.0,2.0,1.0,,,1.0
1.0,2008.0,0.0,1.0,,,1.0
1.0,2016.0,0.0,1.0,,,1.0
2.0,1980.0,1.0,1.0,,,7.0
1.0,1980.0,1.0,2.0,,730.0,7.0
1.0,2010.0,0.0,1.0,,,7.0
1.0,2013.0,0.0,1.0,,,7.0
2.0,2016.0,0.0,1.0,,,7.0
1.0,1948.0,1.0,2.0,,782.0,1.0
2.0,1950.0,1.0,1.0,30.0,941.0,1.0
1.0,1977.0,5.0,2.0,333.0,223.0,1.0
2.0,1976.0,1.0,1.0,,,1.0
1.0,1973.0,1.0,1.0,448.0,231.0,1.0
1.0,2008.0,0.0,1.0,,,1.0
1.0,1968.0,1.0,2.0,,721.0,1.0
2.0,1966.0,1.0,2.0,363.0,721.0,1.0
2.0,2000.0,5.0,2.0,,,1.0
1.0,1959.0,1.0,2.0,,910.0,1.0
2.0,1964.0,1.0,2.0,108.0,951.0,1.0
2.0,1986.0,5.0,2.0,213.0,312.0,1.0
2.0,1988.0,5.0,2.0,208.0,313.0,1.0
1.0,1939.0,1.0,1.0,,,2.0
2.0,1940.0,1.0,1.0,,,2.0
1.0,1945.0,1.0,2.0,,,1.0
2.0,1949.0,1.0,2.0,,,1.0
1.0,1973.0,1.0,2.0,280.0,259.0,1.0
2.0,1969.0,1.0,2.0,458.0,259.0,1.0
2.0,2007.0,0.0,1.0,,,1.0
1.0,2009.0,0.0,1.0,,,1.0
1.0,1936.0,1.0,1.0,,,1.0
2.0,1946.0,1.0,1.0,,,1.0
2.0,1957.0,3.0,2.0,170.0,722.0,1.0
2.0,1987.0,5.0,2.0,,,1.0
1.0,1991.0,5.0,2.0,140.0,314.0,1.0
1.0,1955.0,1.0,1.0,20.0,251.0,1.0
2.0,1960.0,1.0,1.0,184.0,421.0,1.0
1.0,1989.0,5.0,1.0,291.0,312.0,3.0
1.0,1957.0,3.0,2.0,,532.0,1.0
1.0,1989.0,5.0,2.0,260.0,771.0,1.0
1.0,1952.0,3.0,2.0,184.0,942.0,1.0
1.0,1960.0,1.0,1.0,275.0,910.0,1.0
2.0,1960.0,1.0,1.0,100.0,441.0,1.0
2.0,1993.0,5.0,2.0,280.0,521.0,1.0
2.0,1988.0,1.0,2.0,203.0,442.0,2.0
1.0,1984.0,1.0,2.0,327.0,441.0,2.0
2.0,1944.0,2.0,1.0,,,1.0
2.0,1971.0,5.0,2.0,,281.0,1.0
2.0,1976.0,1.0,2.0,581.0,312.0,2.0
1.0,1973.0,1.0,2.0,1005.0,235.0,2.0
1.0,1950.0,1.0,1.0,,873.0,1.0
2.0,1953.0,1.0,1.0,30.0,951.0,1.0
1.0,1982.0,1.0,2.0,450.0,252.0,1.0
2.0,1987.0,1.0,2.0,417.0,399.0,1.0
1.0,2016.0,0.0,2.0,,,1.0
2.0,1937.0,3.0,1.0,,,1.0
1.0,1938.0,2.0,2.0,,,1.0
2.0,1963.0,3.0,1.0,378.0,442.0,1.0
2.0,1992.0,5.0,1.0,,,1.0
2.0,1995.0,5.0,1.0,280.0,399.0,1.0
1.0,1954.0,2.0,1.0,,,1.0
2.0,1994.0,1.0,1.0,60.0,314.0,2.0
1.0,1994.0,1.0,1.0,180.0,743.0,2.0
2.0,2016.0,0.0,2.0,,,2.0
1.0,1965.0,1.0,1.0,,783.0,1.0
2.0,1969.0,1.0,1.0,221.0,722.0,1.0
2.0,1992.0,1.0,1.0,,,1.0
2.0,1993.0,5.0,1.0,180.0,422.0,1.0
2.0,2000.0,5.0,1.0,,,1.0
1.0,1970.0,1.0,2.0,367.0,873.0,1.0
2.0,1971.0,1.0,2.0,213.0,722.0,1.0
2.0,2001.0,0.0,2.0,,,1.0
2.0,2003.0,0.0,2.0,,,1.0
2.0,1944.0,3.0,1.0,15.0,941.0,1.0
2.0,1950.0,3.0,1.0,,,1.0
1.0,1971.0,2.0,1.0,210.0,149.0,1.0
2.0,1936.0,2.0,1.0,,,1.0
1.0,1957.0,1.0,2.0,,,2.0
2.0,1958.0,1.0,2.0,,,2.0
1.0,1983.0,5.0,2.0,,,2.0
2.0,1979.0,1.0,2.0,,,2.0
1.0,1975.0,1.0,2.0,678.0,133.0,2.0
2.0,2009.0,0.0,2.0,,,2.0
1.0,2012.0,0.0,2.0,,,2.0
1.0,1962.0,1.0,2.0,290.0,891.0,1.0
2.0,1964.0,1.0,2.0,,,1.0
1.0,1990.0,5.0,2.0,209.0,222.0,1.0
1.0,1994.0,5.0,2.0,221.0,874.0,1.0
1.0,1952.0,1.0,2.0,133.0,992.0,1.0
2.0,1957.0,1.0,2.0,,442.0,1.0
1.0,1981.0,1.0,2.0,583.0,246.0,1.0
2.0,1986.0,1.0,2.0,423.0,246.0,1.0
1.0,2015.0,0.0,2.0,,,1.0
2.0,1984.0,1.0,2.0,333.0,320.0,1.0
1.0,1982.0,1.0,2.0,704.0,312.0,1.0
2.0,2017.0,0.0,2.0,,,1.0
1.0,1952.0,3.0,2.0,,,1.0
1.0,1929.0,2.0,1.0,,,1.0
1.0,1936.0,1.0,2.0,,,1.0
2.0,1936.0,1.0,2.0,,,1.0
1.0,1960.0,5.0,2.0,,,1.0
1.0,1966.0,1.0,2.0,,823.0,1.0
2.0,1966.0,1.0,2.0,,823.0,1.0
2.0,2004.0,0.0,2.0,,,1.0
2.0,2004.0,0.0,2.0,,,1.0
1.0,1938.0,1.0,2.0,,,1.0
2.0,1939.0,1.0,2.0,,,1.0
1.0,1960.0,1.0,1.0,429.0,875.0,1.0
2.0,1962.0,1.0,1.0,60.0,521.0,1.0
1.0,1961.0,1.0,1.0,,159.0,1.0
2.0,1968.0,1.0,1.0,281.0,259.0,1.0
2.0,1999.0,5.0,1.0,,521.0,1.0
1.0,1964.0,1.0,1.0,404.0,248.0,5.0
2.0,1975.0,1.0,1.0,,,5.0
2.0,1997.0,5.0,1.0,,,5.0
1.0,1999.0,5.0,1.0,,,5.0
2.0,2008.0,0.0,1.0,,,5.0
2.0,2011.0,0.0,1.0,,,5.0
2.0,1942.0,3.0,1.0,,,1.0
1.0,1974.0,1.0,2.0,300.0,783.0,2.0
2.0,1981.0,1.0,2.0,,,2.0
2.0,2007.0,0.0,2.0,,,2.0
1.0,1940.0,1.0,1.0,,,1.0
2.0,1943.0,1.0,1.0,,,1.0
1.0,2000.0,5.0,1.0,,,1.0
1.0,1968.0,3.0,1.0,,521.0,1.0
1.0,1955.0,1.0,1.0,,874.0,1.0
2.0,1961.0,1.0,1.0,,951.0,1.0
1.0,1961.0,1.0,1.0,292.0,892.0,1.0
2.0,1961.0,1.0,1.0,,,1.0
1.0,1938.0,1.0,1.0,,,1.0
2.0,1943.0,1.0,1.0,,,1.0
1.0,1979.0,1.0,2.0,433.0,312.0,2.0
2.0,1983.0,1.0,2.0,,,2.0
1.0,2010.0,0.0,2.0,,,2.0
1.0,1945.0,1.0,1.0,,,2.0
2.0,1953.0,1.0,1.0,130.0,951.0,2.0
2.0,1946.0,2.0,2.0,,,1.0
2.0,1947.0,4.0,1.0,,,1.0
1.0,2001.0,0.0,1.0,,,1.0
2.0,1935.0,2.0,1.0,,,1.0
2.0,1950.0,2.0,2.0,,,1.0
1.0,1978.0,5.0,2.0,677.0,320.0,1.0
2.0,1979.0,5.0,2.0,,,1.0
1.0,1981.0,5.0,2.0,330.0,922.0,1.0
2.0,1927.0,2.0,1.0,,,2.0
2.0,1960.0,1.0,1.0,,422.0,2.0
1.0,1953.0,1.0,1.0,160.0,864.0,2.0
2.0,1986.0,5.0,1.0,250.0,399.0,2.0
1.0,1973.0,5.0,1.0,333.0,221.0,1.0
1.0,1970.0,1.0,1.0,,873.0,1.0
2.0,1969.0,1.0,1.0,378.0,313.0,1.0
1.0,1999.0,5.0,1.0,,,1.0
2.0,1943.0,2.0,1.0,,,1.0
1.0,1979.0,1.0,1.0,,721.0,1.0
2.0,1983.0,1.0,1.0,,721.0,1.0
1.0,2017.0,0.0,2.0,,,1.0
1.0,1947.0,1.0,1.0,,611.0,4.0
2.0,1948.0,1.0,1.0,,,4.0
2.0,1980.0,5.0,2.0,195.0,285.0,1.0
1.0,1963.0,1.0,1.0,,799.0,1.0
2.0,1961.0,1.0,1.0,,,1.0
1.0,1937.0,1.0,1.0,,,1.0
2.0,1937.0,1.0,1.0,,,1.0
1.0,1937.0,1.0,2.0,,,1.0
2.0,1943.0,1.0,2.0,,,1.0
1.0,1936.0,1.0,1.0,,,1.0
2.0,1939.0,1.0,1.0,,,1.0
1.0,1969.0,1.0,1.0,412.0,799.0,1.0
2.0,1971.0,1.0,1.0,,,1.0
2.0,2000.0,5.0,1.0,,,1.0
2.0,2002.0,0.0,1.0,,,1.0
2.0,1972.0,1.0,2.0,225.0,313.0,2.0
1.0,1979.0,1.0,2.0,300.0,221.0,2.0
2.0,2010.0,0.0,2.0,,,2.0
1.0,2012.0,0.0,2.0,,,2.0
2.0,1956.0,2.0,1.0,180.0,441.0,1.0
1.0,1982.0,5.0,1.0,400.0,259.0,1.0
1.0,1945.0,1.0,2.0,,141.0,1.0
2.0,1948.0,1.0,2.0,,,1.0
2.0,1954.0,3.0,1.0,180.0,521.0,2.0
1.0,1974.0,1.0,2.0,600.0,521.0,1.0
2.0,1974.0,1.0,2.0,,442.0,1.0
2.0,2005.0,0.0,2.0,,,1.0
1.0,1963.0,1.0,1.0,160.0,791.0,1.0
