Ozone,Solar.R,Wind,Temp,Date
23,220.0,10.3,78,1973-09-08
21,230.0,10.9,75,1973-09-09
24,259.0,9.7,73,1973-09-10
44,236.0,14.9,81,1973-09-11
21,259.0,15.5,76,1973-09-12
28,238.0,6.3,77,1973-09-13
9,24.0,10.9,71,1973-09-14
13,112.0,11.5,71,1973-09-15
46,237.0,6.9,78,1973-09-16
18,224.0,13.8,67,1973-09-17
13,27.0,10.3,76,1973-09-18
24,238.0,10.3,68,1973-09-19
16,201.0,8.0,82,1973-09-20
13,238.0,12.6,64,1973-09-21
23,14.0,9.2,71,1973-09-22
36,139.0,10.3,81,1973-09-23
7,49.0,10.3,69,1973-09-24
14,20.0,16.6,63,1973-09-25
30,193.0,6.9,70,1973-09-26
23,145.0,13.2,77,1973-09-27
14,191.0,14.3,75,1973-09-28
18,131.0,8.0,76,1973-09-29
20,223.0,11.5,68,1973-09-30
